역이름,게스트 선호 숙소 수,비게스트 선호 숙소 수
Toqueville,25,60
Toudouze,107,102
Tour d'Auvergne,134,119
Traktir,36,43
Transvaal,0,0
Tremblay,0,0
Tristan Tzara,8,11
Turbigo,212,327
Uzès,98,123
Val-Fleury,0,0
Vaneau,27,33
Vanne,0,0
Varenne,13,11
Vasco de Gama,24,36
Vaugirard,50,30
Ventadour,65,90
Verdier,0,0
Verdun,20,9
Verger,0,0
Versailles,27,15
Victoire,47,77
Victor Cresson,0,0
Victor Hugo,34,33
Victor Massé,152,113
Victoria,92,96
Vieille du Temple,155,122
Vignerons,0,0
Vignes,39,39
Vigée-Lebrun,22,24
Village Saint-Paul,89,61
Villersexel,35,15
Villette,90,68
Villiers,25,36
Villiers de l'Isle Adam,47,27
Vinaigriers,145,112
Vincennes,0,0
Vincent Auriol,10,7
Vistule,17,19
Vitruve,17,10
Vivaldi,26,18
Vivienne,78,105
Vladimir Ilitch Lénine,0,0
Volontaires,39,45
Voltaire,0,0
Véron,170,103
Waldeck Rochet,0,0
Westermeyer,0,0
Wilson,0,0
Wurtz,31,13
Youri Gagarine,0,0
Yves Farges,0,0
Édouard Vaillant,0,0
Île de la Jatte,0,0
